"scenario";"sntc_type";"sequence";"subject";"negation";"action";"object";"preposition";"object2";"parsing_class";"original_stnc";"sntc_id";"trace"
"1";"SR";"1";"user";"";"press";"Back button";;;"ConditionalObsBehaviorPP";"If I press the Back button while viewing the Preferences, the app will Force Quit.";"1.1";""
"1";"SR";"2";"user";"";"view";"Preferences";;;"ConditionalObsBehaviorPP";"If I press the Back button while viewing the Preferences, the app will Force Quit.";"1.1";""
