"scenario";"sntc_type";"sequence";"subject";"negation";"action";"object";"preposition";"object2";"parsing_class";"original_stnc";"sntc_id";"trace"
"1";"SR";"1";"user";"";"tap";"link";"to";"Wikipedia article";"ConditionalObsBehaviorPP";"When I tap on a link to another Wikipedia article, aard displays an empty (blank) page thereafter instead of the other article.";"2.1";""
"1";"OB";"2";"aard";"";"display";"empty page";"instead of";"other article";"OutputVerbPP";"When I tap on a link to another Wikipedia article, aard displays an empty (blank) page thereafter instead of the other article.";"2.1";""
