"scenario";"sntc_type";"sequence";"subject";"negation";"action";"object";"preposition";"object2";"parsing_class";"original_stnc";"sntc_id";"trace"
"1";"OB";"1";"list";"not";"show";"current state";"of";"favorites";"NegativeAuxVerbPP";"The list of favorites does not (always) show the current state of favorites.";"1.1";""
"1";"OB";"2";"list";"not";"show";"current state";"of";"favorites";"OutputVerbPP";"The list of favorites does not (always) show the current state of favorites.";"1.1";""
"1";"SR";"3";"user";"";"add";"favorites";;;"ImperativeSequencePP";"Add some favorites";"1.4";""
"1";"SR";"4";"user";"";"go";;"into";"favorites";"ImperativeSequencePP";"Go into favorites";"1.5";""
"1";"SR";"5";"user";"";"select";"event";;;"ImperativeSequencePP";"Select an event";"1.6";""
"1";"SR";"6";"user";"";"remove";"event";"in";"event details screen";"ImperativeSequencePP";"In the event details screen: Remove the event from the favorites";"1.7";""
"1";"SR";"7";"user";"";"hit";"BACK button";"to";"return";"ImperativeSequencePP";"Hit BACK button to return to favorites";"1.8";""
"1";"OB";"8";"app";"";"display";"event";"in";"favorites list";"OutputVerbPP";"- The event is still being displayed in the favorites list.";"1.12";""
"1";"OB";"9";"app";"";"display";"event";"in";"favorites list";"PassiveVoicePP";"- The event is still being displayed in the favorites list.";"1.12";""
