"scenario";"sntc_type";"sequence";"subject";"negation";"action";"object";"preposition";"object2";"parsing_class";"original_stnc";"sntc_id";"trace"
"1";"SR";"1";"user";"";"export";;"of";"data";"ImperativeSequencePP";"Export of data";"1.3";""
"1";"SR";"2";"user";"";"open";;"in";"Excel";"ImperativeSequencePP";"open in Excel";"1.4";""
"1";"OB";"3";"app";"";"display";"Weights";"for";"wrong example";"OutputVerbPP";"Weights are displayed incorrectly, for example wrong: 86.500.015 correct: 86.5 wrong: 8.680.001 correct: 86.8";"2.3";""
"1";"OB";"4";"app";"";"display";;"for";"wrong example";"NegativeAdjOrAdvPP";"Weights are displayed incorrectly, for example wrong: 86.500.015 correct: 86.5 wrong: 8.680.001 correct: 86.8";"2.3";""
