Execution number,log
1,getevent_bug616
2,getevent_bug620
3,getevent_bug633
4,getevent_bug663
5,getevent_gnuCash5_exploration5
6,getevent_bug_gnu-cc9
7,getevent_viewBalanceSheet
8,getevent_enableAccountColorInReports
9,getevent_viewLineChart
10,getevent_enableCompactView
