date,participant,app_name,app_version,session_id,reporting_time,reporting_mins,reporting_secs,reporting_millis
08/21/2021 05:58:43,P7,ATimeTracker,0.20,129d41e7-6dac-4540-8b67-2cb408a0497a,09 min - 21 sec,9,21,561433
08/21/2021 06:05:21,P7,ATimeTracker,0.20,ae8a6750-7a5b-42e2-b4ab-7fa737af45f3,04 min - 25 sec,4,25,265500
08/21/2021 06:51:54,P7,AntennaPod,1.6.2.3,049ec4fa-ade7-4083-ad6b-223bc63faf39,19 min - 32 sec,19,32,1172120
08/21/2021 18:25:37,P7,GnuCash,1.0.3,c0de21fa-e331-4899-9cc6-ee68fef74db7,39 min - 28 sec,39,28,2368726
08/21/2021 19:28:34,P17,Grow Tracker,2.3.1,07755275-3506-4f34-9e00-642f7a002850,09 min - 09 sec,9,9,549212
08/21/2021 19:38:09,P17,Droid Weight,1.5.4,ae57f4ef-76c8-4888-957c-a32c11ebe413,04 min - 16 sec,4,16,256560
08/21/2021 19:41:32,P2,Droid Weight,1.5.4,b6fdab35-ff27-48b9-8dcf-62695f8c5cf2,06 min - 50 sec,6,50,410868
08/21/2021 19:55:12,P17,Droid Weight,1.5.4,277f4968-92c7-4253-af2e-6f367725e832,08 min - 04 sec,8,4,484697
08/21/2021 20:01:00,P17,AntennaPod,1.6.2.3,dbf28320-fefe-4257-95f1-4b6efd93c690,05 min - 13 sec,5,13,313675
08/21/2021 20:07:28,P2,ATimeTracker,0.20,d8dca593-a878-4306-bd08-81a982b1dd59,19 min - 59 sec,19,59,1199719
08/21/2021 20:19:46,P2,GnuCash,1.0.3,8eecea03-022a-4ec5-8bd8-ced6e1318fa3,09 min - 40 sec,9,40,580447
08/21/2021 20:23:20,P2,GnuCash,1.0.3,8934ed17-6513-4b21-b774-8e1a728951b7,02 min - 57 sec,2,57,177567
08/22/2021 02:40:37,P24,Android Token,2.10,34a1616a-122f-4307-8c05-3f9b2af59d54,07 min - 42 sec,7,42,462406
08/22/2021 02:53:10,P24,GnuCash,2.1.3,5c4ab1c0-de07-4552-9faf-ccd7d2eeff06,09 min - 42 sec,9,42,582064
08/22/2021 03:10:17,P24,AntennaPod,1.6.2.3,41a37778-36b4-4bfd-9002-9860d24b3cbe,16 min - 28 sec,16,28,988684
08/22/2021 21:55:57,P18,Grow Tracker,2.3.1,69cbdad3-02d0-4698-a927-3b9344391540,17 min - 13 sec,17,13,1033705
08/22/2021 22:05:17,P18,AntennaPod,1.6.2.3,996924dd-7e3f-4b24-99f1-19bfd0386641,07 min - 01 sec,7,1,421759
08/22/2021 22:11:11,P18,GnuCash,1.0.3,7e90fb4c-7480-4838-a997-4e37ac28e160,05 min - 20 sec,5,20,320934
08/22/2021 22:47:48,P4,Mileage,3.1.1,861e3f2a-1e30-4e94-9cba-10b4ec04b693,09 min - 38 sec,9,38,578780
08/22/2021 22:59:25,P4,Mileage,3.1.1,edb48021-2cbb-4c99-99e0-6143a26163e3,09 min - 16 sec,9,16,556993
08/22/2021 23:16:01,P4,AntennaPod,1.6.2.3,192ee8da-5472-42f1-8eb0-1d9c87dcc7f9,07 min - 18 sec,7,18,438175
08/22/2021 23:31:41,P4,ATimeTracker,0.20,74c89287-ebae-49ef-ba2b-abfbd9d6b68c,03 min - 41 sec,3,41,221793
08/22/2021 23:51:27,P4,Grow Tracker,2.3.1,921ad51d-3d5f-4203-85bf-8be61dfa94ca,09 min - 21 sec,9,21,561699
08/23/2021 01:06:52,P22,GnuCash,2.1.3,c683c1ce-535f-49f1-bde0-e4353564b928,17 min - 36 sec,17,36,1056237
08/23/2021 01:15:59,P10,ATimeTracker,0.20,9a405a56-a8df-47b5-a2b3-c054241a6098,38 min - 40 sec,38,40,2320203
08/23/2021 01:17:13,P22,Android Token,2.10,28464d97-0b2c-45d8-9175-54168d21db0b,09 min - 05 sec,9,5,545905
08/23/2021 01:28:43,P22,Android Token,2.10,1655c152-a04b-4ec3-813e-560ac36a8aea,06 min - 25 sec,6,25,385904
08/23/2021 01:33:34,P22,Android Token,2.10,bda811c5-5650-4f97-8505-8ec7e9ede8a5,03 min - 52 sec,3,52,232846
08/23/2021 01:37:33,P22,Droid Weight,1.5.4,f6f47824-f1e5-4ee7-adcf-3b7d57740781,02 min - 39 sec,2,39,159037
08/23/2021 01:56:46,P10,AntennaPod,1.6.2.3,684045a9-fce1-4093-bdda-0d7de270209b,23 min - 36 sec,23,36,1416278
08/23/2021 02:10:59,P10,GnuCash,1.0.3,1502d9eb-2198-4b87-b5f9-e5a989838f55,06 min - 07 sec,6,7,367254
08/23/2021 02:23:49,P12,Droid Weight,1.5.4,761f4bc0-7001-4634-91b7-5ccd5ae3b665,19 min - 48 sec,19,48,1188307
08/23/2021 02:31:39,P12,ATimeTracker,0.20,3a256d80-beac-433b-87c2-8fdef25ffc58,04 min - 44 sec,4,44,284287
08/23/2021 02:39:06,P12,ATimeTracker,0.20,14062819-6c89-4459-ab7e-4dcb8f7d865c,06 min - 31 sec,6,31,391571
08/23/2021 02:47:43,P12,Grow Tracker,2.3.1,2ddd0f77-d3b8-46c5-ad05-5a0e07bc3004,08 min - 21 sec,8,21,501934
08/23/2021 03:15:10,P21,ATimeTracker,0.20,143b3591-ec1a-406e-8ed3-35e80eae90d3,04 min - 27 sec,4,27,267344
