"scenario";"sntc_type";"sequence";"subject";"negation";"action";"object";"preposition";"object2";"parsing_class";"original_stnc";"sntc_id";"trace"
"1";"SR";"1";"user";"";"open";"application";;;"ImperativeSequencePP";"Open the application";"1.1";""
"1";"SR";"2";"user";"";"click";"scan device";;;"ImperativeSequencePP";"Click “scan device”";"1.2";""
"1";"SR";"3";"user";"";"type";"meme";"on";"search field";"ImperativeSequencePP";"type “meme” on search field (Start typing)";"1.3";""
"1";"SR";"4";"user";"";"click";"meme Wikipedia (en)";"in";"result list";"ImperativeSequencePP";"click the first entry in the result list (meme Wikipedia (en))";"1.4";""
"1";"SR";"5";"user";"";"scroll";"down";;;"ImperativeSequencePP";"scroll down until you see the related pages section at the bottom of the screen";"1.5";""
"1";"SR";"6";"user";"";"click";"link";"on";"related pages";"ImperativeSequencePP";"click a link on the related pages section";"1.6";""
"1";"SR";"7";"user";"";"click back";"button";;;"ImperativeSequencePP";"click back button";"1.7";""
